"","Player","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"312","Modenese Giovanni","Modenese G.","ARGOMM BASKET ISEO","ISEO","21","10","72","11","2","7","29","2","15","13","1","2","50","5","2","7","3","","","","2","13","1","-14"
"313","Molteni Marco","Molteni M.","TEAM ABC CANTU'","CANTU'","12","12","197","52","11","31","35","7","30","23","9","13","69","34","6","40","10","9","","1","8","23","8","38"
"314","Molteni Mattia","Molteni M.","AURORA DESIO 94","DESIO","19","19","468","239","46","117","39","38","104","37","33","39","85","62","8","70","26","15","6","2","26","54","40","163"
"315","Moraghi Alessandro","Moraghi A.","BASKETBALL GALLARATE","GALLARATE","19","18","427","136","44","130","34","0","8","0","48","78","62","61","60","121","39","11","1","5","21","38","78","170"
"316","Morandi Giovanni","Morandi G.","PALL. LISSONE","LISSONE","20","18","110","21","8","20","40","1","7","14","2","4","50","10","2","12","17","2","3","","7","18","5","-11"
"317","Morando Nicolo'","Morando N.","FORTITUDO BUSNAGO","BUSNAGO","18","17","372","94","26","55","47","12","52","23","6","11","55","47","5","52","19","6","5","1","29","31","24","77"
"318","Musso Victorio Gustavo","Musso V.","SANSEBASKET","CREMONA","20","19","469","148","37","86","43","14","58","24","32","45","71","84","11","95","37","17","3","1","38","39","54","168"
"319","Muzio Daniel Christiaan","Muzio D.","BASKET TEAM E.BATTAGLIA","MORTARA","19","19","307","73","28","53","53","","","","17","20","85","50","27","77","11","6","","2","17","48","16","104"
"320","Nasini Pietro","Nasini P.","TEAM ABC CANTU'","CANTU'","6","6","71","17","6","14","43","1","8","12","2","4","50","8","5","13","5","4","","","2","10","5","9"
"321","Nasr Eldin Ahmed Mohamed Abdel","Nasr Eldin A.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","10","6","17","0","0","1","0","","","","","","","2","2","4","","","","","","","","3"
"322","Nava Gabriele","Nava G.","FORTITUDO BUSNAGO","BUSNAGO","1","1","30","12","2","4","50","1","4","25","5","6","83","4","2","6","2","1","","","","4","4","11"
"323","Nebuloni Andrea Massimiliano","Nebuloni A.","VIRTUS LUMEZZANE","LUMEZZANE","20","18","126","28","11","18","61","2","12","17","0","1","0","22","17","39","8","10","1","4","","20","6","40"
"324","Negri Claudio","Negri C.","LEGNANO KNIGHTS","LEGNANO","20","20","586","229","85","131","65","3","18","17","50","77","65","124","56","180","41","21","7","14","42","58","74","366"
"325","Nizzola Matteo","Nizzola M.","BASKET SUSTINENTE","SUSTINENTE","20","20","435","72","18","52","35","10","49","20","6","13","46","34","10","44","20","10","","1","9","61","26","1"
"326","Norcino Mattia","Norcino M.","DELTA LINE OPERA","OPERA","20","20","564","206","13","50","26","45","150","30","45","61","74","28","6","34","25","7","2","","44","47","69","128"
"327","Novati Lorenzo","Novati L.","HYDROTHERM BUSTO ARSIZIO","BUSTO ARSIZIO","19","19","520","120","38","68","56","10","25","40","14","16","88","91","9","100","37","28","1","4","51","15","23","226"
"328","Nuclich Simone","Nuclich S.","NERVIANESE 1919","NERVIANO","20","20","610","279","68","149","46","41","84","49","20","25","80","50","23","73","46","26","6","1","62","56","39","243"
"329","Olgiati Lorenzo","Olgiati L.","TEAM ABC CANTU'","CANTU'","3","2","20","2","1","2","50","","","","0","2","0","3","1","4","2","","","","1","1","2","3"
"330","Opoku Joseph","Opoku J.","ROMANO LOMBARDO","BERGAMO","8","2","7","2","1","2","50","","","","","","","2","","2","1","","","1","","1","","2"
"331","Palac Filip","Palac F.","PALL. GARDONESE","GARDONESE","20","12","274","111","29","56","52","15","31","48","8","10","80","30","8","38","18","15","1","3","28","35","8","104"
"332","Palazzi Niccolo'","Palazzi N.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","19","19","589","102","16","46","35","9","38","24","43","62","69","54","4","58","80","22","5","","83","39","96","159"
"333","Paleari Andrea","Paleari A.","PALL. MILANO 1958","MILANO","18","18","573","317","105","171","61","12","37","32","71","101","70","116","35","151","45","24","1","15","44","51","115","448"
"334","Panaccione Orsomaria","Panaccione O.","SOCIAL O.S.A.","OSA MILANO","5","5","161","52","11","25","44","3","15","20","21","31","68","25","2","27","14","8","1","","18","13","30","71"
"335","Pancrazi Matteo","Pancrazi M.","BASKET TEAM E.BATTAGLIA","MORTARA","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"336","Pasquino Matteo","Pasquino M.","BASKET SUSTINENTE","SUSTINENTE","20","20","513","122","36","102","35","8","34","24","26","54","48","45","21","66","76","32","2","1","23","53","73","66"
"337","Pastori Manuel","Pastori M.","7 LAGHI GAZZADA","GAZZADA","16","15","244","57","19","46","41","4","25","16","7","7","100","52","13","65","28","4","2","3","13","40","12","36"
"338","Pedrini Simone","Pedrini S.","MAZZOLENI B.T. PIZZIGHETTONE","PIZZIGHETTONE","20","20","631","212","50","104","48","20","60","33","52","68","76","106","37","143","21","29","1","1","31","43","50","291"
"339","Pellegrini Gabriele","Pellegrini G.","ROBUR BASKET SARONNO","SARONNO","17","10","82","43","16","27","59","2","4","50","5","7","71","9","4","13","2","3","2","1","1","6","7","43"
"340","Pellizzoni Riccardo","Pellizzoni R.","VIRTUS PALL. CERMENATE","CERMENATE","18","18","522","229","42","110","38","33","102","32","46","59","78","35","8","43","42","17","","1","31","50","57","136"
"341","Penna Lorenzo","Penna L.","SANSEBASKET","CREMONA","4","0","","0","","","","","","","","","","","","","","","","","","","",""
"342","Perego Andrea","Perego A.","FORTITUDO BUSNAGO","BUSNAGO","20","12","388","89","25","62","40","8","36","22","15","27","56","36","5","41","24","16","4","","79","25","25","120"
"343","Perego Davide","Perego D.","CARPE DIEM BASKET","CALOLZIOCORTE","19","19","425","168","58","128","45","6","27","22","34","58","59","59","24","83","31","7","3","","9","47","52","123"
"344","Peri Davide","Peri D.","AURORA DESIO 94","DESIO","19","18","339","78","20","36","56","8","31","26","14","21","67","20","4","24","21","15","3","3","24","42","20","52"
"345","Persico Benedetto","Persico B.","FORTITUDO BUSNAGO","BUSNAGO","8","8","183","43","18","35","51","0","1","0","7","15","47","23","7","30","10","4","2","5","6","21","17","46"
"346","Pesenato Daniele","Pesenato D.","AURORA DESIO 94","DESIO","19","15","149","31","13","27","48","0","1","0","5","6","83","32","11","43","10","3","1","2","8","16","7","51"
"347","Pesenti Marco","Pesenti M.","OLIMPIA LUMEZZANE","LUMEZZANE","18","18","510","162","28","74","38","28","101","28","22","28","79","65","23","88","32","31","2","","68","44","30","176"
"348","Piantoni Giacomo","Piantoni G.","OLIMPIA LUMEZZANE","LUMEZZANE","16","15","220","69","29","63","46","0","1","0","11","23","48","29","31","60","13","4","1","2","7","25","21","77"
"349","Piatti Matteo","Piatti M.","BOCCONI SPORT TEAM","MILANO TEAM","16","16","176","62","26","50","52","0","1","0","10","17","59","27","25","52","17","6","2","1","2","26","17","63"
"350","Piccinocchi Riccardo","Piccinocchi R.","BASKET SUSTINENTE","SUSTINENTE","14","14","214","22","9","26","35","1","8","12","1","8","12","17","6","23","25","4","1","","10","20","20","2"
"351","Piccolboni Giovanni","Piccolboni G.","BASKET SUSTINENTE","SUSTINENTE","19","19","201","42","11","30","37","1","13","8","17","23","74","13","5","18","30","8","2","1","1","45","21","-23"
"352","Picotti Stefano","Picotti S.","BASKETBALL GALLARATE","GALLARATE","16","6","63","12","6","11","55","0","1","0","","","","11","1","12","4","1","","","","6","3","12"
"353","Pigozzi Leonardo","Pigozzi L.","BASKETBALL GALLARATE","GALLARATE","4","0","","0","","","","","","","","","","","","","","","","","","","",""
"354","Pirovano Nicolo' Matteo","Pirovano N.","CARPE DIEM BASKET","CALOLZIOCORTE","5","5","105","24","10","15","67","0","7","0","4","8","50","21","2","23","6","2","","2","11","11","11","40"
"355","Pirovano Mattia","Pirovano M.","CARPE DIEM BASKET","CALOLZIOCORTE","15","12","134","41","9","21","43","7","19","37","2","3","67","11","3","14","9","2","1","","4","18","10","18"
"356","Pitarresi Fabio","Pitarresi F.","7 LAGHI GAZZADA","GAZZADA","18","4","7","2","1","2","50","","","","","","","","","","1","","","","","","1","1"
"357","Pocius Rokas","Pocius R.","BASKET TEAM E.BATTAGLIA","MORTARA","19","19","666","375","121","227","53","7","33","21","112","159","70","174","59","233","71","20","10","7","52","45","151","533"
"358","Pogliana Giacomo","Pogliana G.","NERVIANESE 1919","NERVIANO","20","9","22","0","0","1","0","","","","","","","3","1","4","3","","","","2","9","1","-6"
"359","Politi Filippo","Politi F.","ROBUR BASKET SARONNO","SARONNO","19","19","487","248","84","160","52","3","6","50","71","86","83","86","44","130","37","8","2","7","23","37","75","321"
"360","Pontisso Stefano","Pontisso S.","DELTA LINE OPERA","OPERA","8","7","161","59","19","32","59","3","18","17","12","25","48","23","5","28","22","10","1","1","13","28","25","44"
"361","Porrati Valerio","Porrati V.","LEGNANO KNIGHTS","LEGNANO","10","5","9","0","0","1","0","","","","","","","2","1","3","","2","","","","","","4"
"362","Porro Nicholas","Porro N.","CARPE DIEM BASKET","CALOLZIOCORTE","15","15","294","60","29","64","45","0","3","0","2","4","50","45","22","67","5","7","2","3","6","26","8","78"
"363","Prati Riccardo","Prati R.","BASKET SUSTINENTE","SUSTINENTE","14","8","124","38","9","18","50","2","8","25","14","17","82","16","","16","10","","","","4","10","10","30"
"364","Priuli Alessandro","Priuli A.","NERVIANESE 1919","NERVIANO","12","12","347","80","25","59","42","","","","30","48","62","70","31","101","20","11","2","8","21","27","65","185"
"365","Puricelli Daniele","Puricelli D.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","18","18","426","194","54","115","47","21","68","31","23","33","70","88","48","136","22","17","1","2","15","34","27","216"
"366","Quaglia Pietro","Quaglia P.","ROBUR BASKET SARONNO","SARONNO","14","8","88","8","1","4","25","0","3","0","6","8","75","11","","11","12","2","","","11","6","9","15"
"367","Quarta Flavio","Quarta F.","TEAM ABC CANTU'","CANTU'","15","12","77","18","5","17","29","1","3","33","5","9","56","9","3","12","9","3","1","","2","8","7","6"
"368","Quinti Andrea","Quinti A.","ROBUR BASKET SARONNO","SARONNO","19","19","253","74","30","62","48","","","","14","30","47","54","32","86","14","8","","13","14","31","26","128"
"369","Ragagnin Giovanni","Ragagnin G.","SANSEBASKET","CREMONA","19","18","415","173","20","57","35","33","97","34","34","44","77","39","10","49","34","22","3","","17","33","51","131"
"370","Ragni Alberto","Ragni A.","MILANOTRE BASKET","MILANOTRE","18","16","214","52","18","50","36","0","1","0","16","24","67","26","20","46","10","3","3","5","4","39","19","36"
"371","Rakic Kristijan","Rakic K.","OLIMPIA LUMEZZANE","LUMEZZANE","20","14","111","8","2","4","50","1","5","20","1","4","25","9","2","11","9","1","","1","8","12","4","3"
"372","Ramenghi Francesco","Ramenghi F.","LIBERTAS CERNUSCO","CERNUSCO","11","10","62","18","7","16","44","1","3","33","1","3","33","6","5","11","3","4","1","1","2","7","4","16"
"373","Rampoldi Davide","Rampoldi D.","BASKET ROVELLO","ROVELLO","9","6","17","8","1","5","20","2","3","67","","","","1","","1","","","1","","2","1","","4"
"374","Rappoccio Bruno","Rappoccio B.","NBB BRESCIA","BRESCIA","21","21","638","185","25","78","32","29","87","33","48","56","86","65","11","76","67","29","","2","73","55","77","201"
"375","Raskovic Marko","Raskovic M.","NEW BASKET PREVALLE","PREVALLE","19","17","420","194","84","148","57","0","12","0","26","39","67","73","38","111","28","16","3","2","19","58","44","208"
"376","Ravelli Giovanni","Ravelli G.","OLIMPIA LUMEZZANE","LUMEZZANE","12","1","5","3","","","","1","1","100","","","","1","","1","","","","","","1","1","4"
"377","Reali Marco","Reali M.","PALL. MILANO 1958","MILANO","20","20","599","227","17","56","30","55","151","36","28","37","76","94","8","102","28","11","3","5","24","45","32","181"
"378","Remonti Marco","Remonti M.","7 LAGHI GAZZADA","GAZZADA","4","2","13","0","","","","0","1","0","","","","3","","3","","","","","","1","","1"
"379","Riefolo Giacomo","Riefolo G.","7 LAGHI GAZZADA","GAZZADA","2","1","4","0","","","","","","","","","","","","","","","","","","","",""
"380","Riggi Luca","Riggi L.","SOCIAL O.S.A.","OSA MILANO","19","19","254","72","12","37","32","14","32","44","6","8","75","31","10","41","10","2","1","","8","29","14","52"
"381","Rigon Davide","Rigon D.","SOCIAL O.S.A.","OSA MILANO","16","16","263","112","26","70","37","15","50","30","15","27","56","60","11","71","24","11","2","3","10","45","18","63"
"382","Rimoldi Lorenzo","Rimoldi L.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","18","18","230","22","4","20","20","4","28","14","2","4","50","23","5","28","10","7","","","1","21","9","-6"
"383","Rinaldi Luca Giacomo","Rinaldi L.","VIRTUS LUMEZZANE","LUMEZZANE","20","19","395","140","48","84","57","11","33","33","11","20","55","54","12","66","24","6","","1","15","37","24","124"
"384","Riva Manuel Simone Maria","Riva M.","LIBERTAS CERNUSCO","CERNUSCO","18","18","401","187","27","60","45","37","123","30","22","25","88","15","2","17","19","15","","","11","18","17","88"
"385","Romei Longhena Giovanni","Romei Longhena G.","BASKET ROVELLO","ROVELLO","19","18","367","99","23","48","48","13","43","30","14","23","61","28","15","43","13","10","1","3","8","34","26","77"
"386","Romei Longhena Agostino","Romei Longhena A.","BASKET ROVELLO","ROVELLO","18","18","396","110","44","90","49","","","","22","31","71","47","36","83","26","9","1","3","21","48","28","124"
"387","Roncari Luca","Roncari L.","LEGNANO KNIGHTS","LEGNANO","19","19","402","105","25","67","37","11","41","27","22","32","69","32","7","39","16","10","5","","30","27","32","86"
"388","Ronchetti Andrea","Ronchetti A.","TEAM ABC CANTU'","CANTU'","19","19","422","109","35","63","56","10","31","32","9","14","64","63","28","91","13","15","2","","14","49","25","136"
"389","Ronchetti Paolo","Ronchetti P.","BASKET ROVELLO","ROVELLO","14","12","37","20","6","9","67","2","7","29","2","5","40","6","2","8","2","3","1","","3","7","6","19"
"390","Rosignoli Davide","Rosignoli D.","7 LAGHI GAZZADA","GAZZADA","5","5","166","52","19","44","43","0","6","0","14","22","64","42","24","66","13","2","1","","9","13","21","84"
"391","Rusconi Martino","Rusconi M.","CARPE DIEM BASKET","CALOLZIOCORTE","12","12","273","107","25","60","42","17","45","38","6","9","67","42","13","55","28","5","2","","17","35","13","66"
"392","Ruzzon Marco","Ruzzon M.","PALL. LISSONE","LISSONE","20","20","290","85","15","36","42","15","48","31","10","14","71","33","3","36","15","9","","","20","32","15","60"
"393","Sacchi Mattia","Sacchi M.","BASKET TEAM E.BATTAGLIA","MORTARA","19","19","457","203","39","74","53","28","66","42","41","54","76","39","8","47","26","10","2","3","27","53","62","185"
"394","Sacripanti Filippo","Sacripanti F.","TEAM ABC CANTU'","CANTU'","3","1","6","2","1","1","100","0","1","0","","","","1","","1","","","","","","","","2"
"395","Sala Tommaso","Sala T.","FORTITUDO BUSNAGO","BUSNAGO","1","1","1","0","","","","","","","","","","","","","","","","","","","",""
"396","Saletti Stefano","Saletti S.","NEW BASKET PREVALLE","PREVALLE","20","20","357","59","27","55","49","1","4","25","2","5","40","65","31","96","24","10","","4","12","45","11","89"
"397","Sambruna Leonardo","Sambruna L.","PALL. LISSONE","LISSONE","3","2","3","0","","","","0","2","0","","","","1","","1","","","","","1","","",""
"398","Santambrogio Marco","Santambrogio M.","ROBUR BASKET SARONNO","SARONNO","18","18","440","159","30","68","44","29","71","41","12","20","60","49","4","53","29","13","","","62","37","33","166"
"399","Santangelo Giuseppe","Santangelo G.","BOCCONI SPORT TEAM","MILANO TEAM","16","15","153","39","13","26","50","2","10","20","7","12","58","9","4","13","13","2","","","5","16","10","14"
"400","Santolamazza Riccardo","Santolamazza R.","BOCCONI SPORT TEAM","MILANO TEAM","18","18","511","206","27","75","36","21","66","32","89","105","85","101","13","114","44","19","1","3","72","45","99","314"
"401","Scekic Nikola","Scekic N.","NEW BASKET PREVALLE","PREVALLE","20","18","530","233","65","104","62","27","66","41","22","42","52","84","38","122","31","15","1","1","21","49","40","253"
"402","Scekic Nemanja","Scekic N.","PALL. GARDONESE","GARDONESE","5","5","53","21","7","14","50","1","1","100","4","7","57","10","5","15","8","2","","1","","10","7","18"
