"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"25","Atsur E.","HYDROTHERM BUSTO ARSIZIO","BUS","19","19","597","390","73","152","48","49","123","40","97","113","86","73","10","83","36","28","8","2","81","50","108","429"
"26","Avino F.","GILBERTINA SORESINA","SOR","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"27","Azzimonti E.","HYDROTHERM BUSTO ARSIZIO","BUS","34","29","733","296","71","174","41","33","105","31","55","81","68","126","31","157","36","23","8","4","33","71","71","268"
"28","Azzola M.","N.B. IMBAL CARTON PREVALLE","PRE","36","35","1134","645","147","293","50","84","296","28","99","148","67","129","39","168","60","34","7","7","89","51","144","562"
"29","Azzoni G.","BASKETBALL GALLARATE","GAL","4","2","1","0","","","","","","","","","","","","","","","","","","","",""
"30","Baggi A.","SANSEBASKET CREMONA","CRE","30","27","254","79","12","30","40","16","48","33","7","7","100","54","13","67","19","5","1","","3","31","13","66"
"31","Baiardo A.","B. TEAM E. BATTAGLIA MORTARA","MOR","32","32","744","312","49","114","43","56","192","29","46","57","81","48","5","53","38","14","8","1","46","67","56","157"
"32","Baldrighi D.","MAZZOLENI PIZZIGHETTONE","PIZ","39","19","107","22","9","17","53","0","4","0","4","10","40","14","8","22","3","2","","","4","13","7","23"
"33","Banchelli C.","LE BOCCE CASA GIOVENTU' ERBA","ERB","38","36","603","243","44","147","30","17","109","16","104","182","57","54","8","62","55","22","14","","33","47","154","125"
"34","Bandera G.","NERVIANESE 1919","NER","32","30","451","123","22","56","39","22","61","36","13","15","87","42","10","52","12","9","","3","11","23","12","100"
"35","Bandera A.","GILBERTINA SORESINA","SOR","22","6","9","0","0","4","0","","","","","","","1","","1","","","","","1","3","1","-4"
"36","Banfi M.","VERGA VINI CERMENATE","CER","35","33","637","137","38","97","39","16","45","36","13","15","87","31","6","37","27","16","1","2","45","58","19","80"
"37","Banfi F.","TEAM ABC CANTU'","CAN","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"38","Banic E.","PALL. MILANO 1958 (*)","MIL (*)","6","6","182","99","22","40","55","15","43","35","10","15","67","38","13","51","19","12","","","9","13","22","110"
"39","Banic E.","GILBERTINA SORESINA","SOR","16","16","340","180","28","59","47","33","67","49","25","30","83","59","14","73","11","2","1","","19","25","29","196"
"40","Baroni M.","ISEO ARGOMM","ISE","33","30","741","316","90","168","54","21","73","29","73","86","85","157","44","201","53","18","3","1","14","85","106","372"
"41","Bassani A.","MILANOTRE BK (*)","MIL (*)","37","37","1087","480","139","271","51","40","116","34","82","122","67","304","114","418","40","23","5","5","29","56","96","702"
"42","Battilana L.","BASKETBALL GALLARATE","GAL","37","36","571","150","35","82","43","21","80","26","17","30","57","114","11","125","41","12","","1","17","65","30","110"
"43","Bazzoli R.","PALL. MILANO 1958 (*)","MIL (*)","35","27","836","346","88","216","41","42","166","25","44","62","71","37","11","48","20","12","1","4","64","31","67","219"
"44","Bellotti L.","BAJ G. ARCISATE","ARC","34","32","1000","490","82","171","48","61","184","33","143","184","78","102","11","113","66","70","6","2","119","77","176","568"
"45","Bellotti G.","BASKETBALL GALLARATE","GAL","31","27","387","127","46","92","50","","","","35","57","61","65","42","107","28","1","5","13","4","44","57","164"
"46","Bellotti P.","BAJ G. ARCISATE","ARC","34","33","227","76","17","37","46","4","23","17","30","56","54","24","8","32","27","19","4","","24","48","47","54"
"47","Belluco L.","MG.Kvis CORONA PLATINA","PIA","38","17","79","14","0","5","0","4","11","36","2","2","100","6","1","7","2","2","1","","3","8","1","4"
"48","Beretta M.","LIBERTAS CERNUSCO","CER","35","35","1046","123","48","108","44","0","4","0","27","53","51","248","105","353","70","35","2","44","89","93","58","447"
"49","Bergamaschi M.","BAJ G. ARCISATE","ARC","34","34","611","205","86","176","49","1","11","9","30","54","56","65","49","114","22","25","8","20","20","65","44","209"
"50","Bertoglio N.","MILANOTRE BK (*)","MIL (*)","17","17","342","46","2","4","50","12","45","27","6","10","60","33","3","36","5","5","","1","8","23","8","37"
"51","Bertuzzi C.","MAZZOLENI PIZZIGHETTONE","PIZ","41","41","699","220","18","64","28","51","126","40","31","48","65","51","12","63","30","12","2","1","38","53","43","154"
"52","Berzins T.","PALL. GARDONESE","GAR","22","4","5","0","","","","0","1","0","","","","1","","1","","","","","1","1","",""
"53","Bialkowski M.","AMALPLAST 7 LAGHI GAZZADA","GAZ","35","35","824","239","90","206","44","6","20","30","41","70","59","160","82","242","71","24","7","6","52","100","72","298"
"54","Bianchi F.","BAJ G. ARCISATE","ARC","13","3","12","0","","","","0","3","0","","","","","","","","","","","1","3","1","-4"
"55","Bianchi O.","VERGA VINI CERMENATE","CER","17","14","111","23","8","21","38","0","3","0","7","12","58","28","10","38","3","1","1","2","3","6","7","43"
"56","Bianchini M.","BASKET SUSTINENTE (*)","SUS (*)","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"57","Biasich D.","ROMANO LOMBARDO","ROM","28","28","521","202","34","83","41","36","138","26","26","39","67","28","6","34","30","20","7","1","23","59","48","68"
"58","Bilotta D.","SANSEBASKET CREMONA","CRE","37","35","971","364","44","132","33","78","248","31","42","55","76","60","11","71","91","40","9","1","68","86","84","171"
"59","Binaghi G.","LIBERTAS CERNUSCO","CER","17","17","229","97","31","68","46","8","38","21","11","17","65","19","6","25","13","5","3","1","7","29","12","29"
"60","Boccafurni E.","BLU OROBICA BERGAMO","BER","36","36","1106","466","143","320","45","33","136","24","81","171","47","210","67","277","105","57","16","21","94","102","168","490"
"61","Bodini R.","SANSEBASKET CREMONA","CRE","38","37","1061","196","44","157","28","17","78","22","57","92","62","153","40","193","73","59","6","4","74","79","115","274"
"62","Boev I.","TEAM ABC CANTU'","CAN","9","5","21","3","1","1","100","","","","1","2","50","7","3","10","2","1","","","","1","1","11"
"63","Bolzonella F.","AMALPLAST 7 LAGHI GAZZADA","GAZ","34","27","723","369","114","221","52","23","77","30","72","90","80","64","27","91","47","20","3","","41","55","86","323"
"64","Bolzonella F.","BAJ G. ARCISATE","ARC","34","34","336","57","9","25","36","10","29","34","9","10","90","34","10","44","20","15","2","1","15","64","13","23"
"65","Bonacina A.","BLU OROBICA BERGAMO","BER","36","36","885","344","137","326","42","2","4","50","64","90","71","120","81","201","50","30","7","11","32","99","79","324"
"66","Bonazzoli F.","SANSEBASKET CREMONA","CRE","24","17","113","10","2","9","22","0","6","0","6","8","75","8","3","11","12","3","","","3","13","6","-7"
"67","Bonora F.","MILANOTRE BK (*)","MIL (*)","37","37","479","163","52","131","40","8","40","20","35","64","55","74","54","128","28","20","7","5","17","81","48","125"
"68","Bordato L.","BASKET SUSTINENTE (*)","SUS (*)","37","37","1047","261","71","173","41","27","104","26","38","56","68","68","22","90","67","33","5","5","42","84","74","152"
"69","Borghetti M.","VIRTUS LUMEZZANE","LUM","19","6","90","43","13","25","52","5","13","38","2","3","67","6","5","11","9","3","1","","10","16","8","28"
"70","Borghetti L.","VIRTUS LUMEZZANE","LUM","40","32","378","136","28","62","45","16","70","23","32","47","68","25","15","40","23","13","4","10","22","65","41","67"
"71","Boselli A.","GILBERTINA SORESINA","SOR","1","1","1","0","","","","","","","","","","","","","","","","","","","",""
"72","Bossi L.","B. TEAM E. BATTAGLIA MORTARA","MOR","27","26","475","131","36","74","49","11","50","22","26","41","63","55","13","68","28","24","1","1","27","32","38","136"
"73","Brambilla L.","VERGA VINI CERMENATE","CER","35","33","1074","456","151","340","44","26","95","27","76","122","62","201","76","277","65","37","4","13","61","94","141","518"
"74","Bresolin D.","TEAM ABC CANTU'","CAN","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"75","Broggi M.","VERGA VINI CERMENATE","CER","35","35","934","216","51","112","46","19","75","25","57","100","57","114","18","132","52","45","3","3","84","95","108","278"
"76","Brunelli L.","N.B. IMBAL CARTON PREVALLE","PRE","38","30","515","59","22","53","42","","","","15","32","47","75","38","113","28","18","4","6","14","86","20","64"
"77","Buttarelli S.","BLU OROBICA BERGAMO","BER","28","19","161","37","14","39","36","1","2","50","6","7","86","18","10","28","9","4","5","2","6","18","7","25"
"78","Buzzi P.","BASKET SUSTINENTE (*)","SUS (*)","36","36","996","306","43","120","36","62","200","31","34","44","77","60","16","76","53","27","5","","52","49","48","177"
"79","Buzzini R.","ROMANO LOMBARDO","ROM","36","31","802","245","54","87","62","37","97","38","26","50","52","94","23","117","47","24","6","2","95","63","72","322"
"80","Caggiano S.","HYDROTHERM BUSTO ARSIZIO","BUS","8","4","17","6","1","2","50","1","4","25","1","2","50","1","1","2","2","","1","1","","1","1","1"
"81","Caglio S.","TEAM ABC CANTU'","CAN","7","6","34","23","5","8","62","1","1","100","10","14","71","2","","2","","1","1","1","","4","8","23"
"82","Calzavara M.","BASKETBALL GALLARATE","GAL","38","37","1011","399","112","229","49","41","136","30","52","83","63","127","31","158","88","35","8","1","49","94","81","290"
"83","Campeggi T.","LIBERTAS CERNUSCO","CER","11","9","85","31","7","8","88","1","4","25","14","18","78","6","7","13","7","1","","","1","15","13","29"
"84","Camurati M.","BASKETBALL GALLARATE","GAL","8","1","3","0","","","","","","","","","","","","","","","","","","","",""
"85","Cancelli M.","PALL. GARDONESE","GAR","35","35","803","311","117","182","64","4","12","33","65","106","61","103","70","173","41","11","4","7","46","79","122","432"
"86","Cappellari A.","MILANOTRE BK (*)","MIL (*)","35","32","329","55","9","20","45","7","25","28","16","18","89","28","2","30","23","4","1","2","30","62","27","31"
"87","Cappellari A.","MILANOTRE BK (*)","MIL (*)","37","37","666","164","69","143","48","1","1","100","23","30","77","83","63","146","34","18","5","8","34","90","38","198"
"88","Caramatti R.","VIRTUS LUMEZZANE","LUM","41","40","1147","530","104","203","51","91","231","39","49","72","68","116","21","137","86","35","4","1","103","83","83","454"
"89","Carpani S.","TEAM ABC CANTU'","CAN","32","32","885","237","42","97","43","40","146","27","33","49","67","119","27","146","45","37","","","67","93","57","229"
"90","Carrera A.","ROMANO LOMBARDO","ROM","33","31","607","256","76","179","42","12","43","28","68","77","88","72","17","89","39","15","9","","49","60","68","226"
"91","Casali L.","MAZZOLENI PIZZIGHETTONE","PIZ","41","40","1126","387","87","203","43","37","140","26","102","133","77","136","29","165","75","38","8","1","66","114","140","350"
"92","Cassano M.","ROBUR SARONNO","SAR","5","3","18","3","0","1","0","1","1","100","","","","","","","1","","","","2","3","4","4"
"93","Castrianni A.","VIRTUS LUMEZZANE","LUM","7","2","4","1","","","","","","","1","2","50","","1","1","","","","","","","1","2"
"94","Cattaneo M.","PALL. MILANO 1958 (*)","MIL (*)","35","35","994","273","94","171","55","17","72","24","34","60","57","141","26","167","69","51","8","10","95","82","75","354"
"95","Cattaneo T.","PALL. MILANO 1958 (*)","MIL (*)","33","33","407","62","13","24","54","8","33","24","12","19","63","40","6","46","15","8","","","19","39","15","53"
"96","Cattaneo N.","DELTA LINE OPERA B.C.","OPE","19","18","520","219","46","114","40","25","89","28","52","76","68","68","4","72","19","13","4","","49","34","76","216"
"97","Cazzaniga L.","DELTA LINE OPERA B.C.","OPE","36","35","562","136","13","59","22","30","105","29","20","33","61","58","18","76","33","35","2","1","41","58","42","104"
"98","Cazzaniga R.","GILBERTINA SORESINA","SOR","41","40","1036","225","64","162","40","17","40","42","46","56","82","151","65","216","50","20","","21","42","82","61","322"
"99","Cazzaniga D.","DELTA LINE OPERA B.C.","OPE","28","14","129","22","8","21","38","0","6","0","6","14","43","14","3","17","7","7","","","12","11","17","30"
"100","Ceppi S.","LE BOCCE CASA GIOVENTU' ERBA","ERB","39","36","1085","523","114","230","50","75","285","26","70","92","76","116","19","135","74","35","15","1","86","45","77","375"
"101","Cerniz M.","BASKET SUSTINENTE (*)","SUS (*)","21","21","542","209","41","108","38","30","100","30","37","49","76","64","9","73","70","18","6","","77","47","58","163"
"102","Charles Pena M.","GILBERTINA SORESINA","SOR","24","18","155","22","8","26","31","1","10","10","3","10","30","31","13","44","15","1","1","","1","22","9","5"
"103","Chiacig R.","GILBERTINA SORESINA","SOR","36","36","653","285","100","207","48","4","15","27","73","122","60","139","78","217","62","5","4","9","17","32","93","361"
"104","Chiarello P.","ROMANO LOMBARDO","ROM","34","34","991","336","126","296","43","13","56","23","45","71","63","159","19","178","48","35","3","18","66","93","87","337"
"105","Chiesa A.","DELTA LINE OPERA B.C.","OPE","30","29","380","139","53","128","41","3","27","11","24","39","62","65","32","97","17","13","6","9","10","33","34","132"
"106","Chiozza M.","SANSEBASKET CREMONA","CRE","6","3","7","0","0","2","0","","","","","","","","","","","","1","","","1","","-4"
"107","Ciaramella D.","VIRTUS LUMEZZANE","LUM","41","41","931","229","51","110","46","25","69","36","52","86","60","72","27","99","46","25","5","3","102","77","101","294"
"108","Ciardiello L.","BASKETBALL GALLARATE","GAL","36","36","613","283","19","50","38","68","193","35","41","49","84","56","6","62","44","5","1","","20","90","48","119"
"109","Cinquepalmi N.","MILANOTRE BK (*)","MIL (*)","37","37","533","184","58","132","44","9","40","22","41","52","79","65","28","93","39","10","4","2","21","99","51","103"
"110","Cipelletti L.","MAZZOLENI PIZZIGHETTONE","PIZ","33","7","28","2","1","3","33","0","3","0","","","","3","1","4","2","1","","","","5","3","-2"
"111","Citterio A.","LE BOCCE CASA GIOVENTU' ERBA","ERB","8","5","18","2","1","2","50","0","1","0","","","","2","1","3","","1","1","","","","","3"
"112","Clementoni M.","ROBUR SARONNO","SAR","38","38","1079","585","111","231","48","80","227","35","123","157","78","153","27","180","59","56","3","2","58","89","142","571"
"113","Clerici M.","BAJ G. ARCISATE","ARC","34","33","1061","490","116","224","52","65","198","33","63","80","79","212","82","294","34","47","9","21","43","73","68","589"
"114","Cocchi F.","SANSEBASKET CREMONA","CRE","35","35","629","172","57","99","58","11","56","20","25","40","62","79","36","115","30","22","2","12","30","96","57","178"
"115","Collini R.","PALL. LISSONE","LIS","36","34","605","182","78","129","60","1","1","100","23","57","40","149","53","202","39","16","3","14","27","90","83","307"
"116","Colnago P.","NERVIANESE 1919","NER","34","32","956","465","70","145","48","73","243","30","106","139","76","104","6","110","83","13","4","","78","47","145","399"
"117","Colombo M.","MILANOTRE BK (*)","MIL (*)","37","34","911","414","73","162","45","58","176","33","94","118","80","133","27","160","56","32","4","1","81","59","107","445"
"118","Colombo T.","LE BOCCE CASA GIOVENTU' ERBA","ERB","38","38","1144","449","146","344","42","30","119","25","67","109","61","238","64","302","39","37","10","12","42","97","84","451"
"119","Colombo D.","N.B. IMBAL CARTON PREVALLE","PRE","12","5","21","6","3","4","75","","","","","","","4","1","5","1","","","2","4","3","","12"
"120","Corbelli F.","LIBERTAS CERNUSCO","CER","14","8","25","2","0","5","0","0","3","0","2","2","100","","1","1","1","1","","","3","3","1","-4"
"121","Corini D.","BLU OROBICA BERGAMO","BER","32","30","437","84","14","44","32","14","48","29","14","30","47","12","11","23","23","7","2","1","21","36","24","19"
"122","Corno A.","MG.Kvis CORONA PLATINA","PIA","41","41","1092","529","93","200","46","98","257","38","49","63","78","87","29","116","42","21","9","9","71","63","72","424"
"123","Corti G.","LE BOCCE CASA GIOVENTU' ERBA","ERB","39","38","362","66","14","40","35","11","43","26","5","10","50","66","18","84","11","11","2","4","11","61","10","49"
"124","Crespi M.","HYDROTHERM BUSTO ARSIZIO","BUS","24","12","59","6","3","4","75","0","7","0","","","","3","5","8","2","2","","","6","8","1","5"
"125","Croci A.","NERVIANESE 1919","NER","16","2","4","0","0","3","0","","","","","","","1","","1","","","","","","","","-2"
"126","Croci N.","BASKETBALL GALLARATE","GAL","33","33","852","260","71","149","48","9","33","27","91","136","67","81","28","109","42","29","11","","33","90","127","268"
"127","Cucchiaro V.","TEAM ABC CANTU'","CAN","38","38","782","308","66","140","47","28","85","33","92","121","76","95","24","119","62","27","5","1","65","72","118","339"
"128","Dalovic M.","ISEO ARGOMM","ISE","34","34","830","355","46","116","40","67","214","31","62","82","76","59","11","70","64","23","2","2","37","80","83","187"
"129","D'Ambrosio Angelillo M.","CISTELLUM CISLAGO (*)","CIS (*)","32","32","639","151","53","105","50","11","43","26","12","21","57","116","44","160","31","8","1","26","10","67","27","190"
"130","Danelutti J.","PALL. LISSONE","LIS","36","36","870","310","125","254","49","12","55","22","24","74","32","193","77","270","54","25","8","4","43","81","72","359"
"131","De Conto P.","LIBERTAS CERNUSCO","CER","34","34","544","198","78","151","52","5","14","36","27","44","61","52","24","76","24","10","7","1","23","52","61","187"
"132","De Francesco F.","DELTA LINE OPERA B.C.","OPE","32","26","265","84","14","22","64","15","66","23","11","12","92","6","6","12","9","6","","","18","23","10","38"
"133","De Franco F.","HYDROTHERM BUSTO ARSIZIO","BUS","34","34","480","137","57","105","54","2","14","14","17","36","47","61","49","110","28","15","3","2","19","78","41","136"
"134","De La Cruz Villegas R.","N.B. IMBAL CARTON PREVALLE","PRE","37","37","714","211","66","116","57","10","37","27","49","70","70","63","12","75","71","24","5","3","61","78","68","190"
"135","De Vita G.","HYDROTHERM BUSTO ARSIZIO","BUS","31","30","465","127","33","64","52","15","44","34","16","21","76","70","30","100","25","9","2","4","14","45","24","141"
"136","Deconescu M.","B. TEAM E. BATTAGLIA MORTARA","MOR","17","17","570","189","59","140","42","16","52","31","23","33","70","96","32","128","50","7","6","1","19","41","24","144"
"137","Del Sorbo P.","GILBERTINA SORESINA","SOR","41","40","1217","553","136","250","54","55","198","28","116","159","73","263","37","300","92","39","6","14","91","142","160","617"
"138","Deleidi L.","ROMANO LOMBARDO","ROM","36","36","904","319","84","181","46","7","29","24","130","170","76","102","24","126","93","51","12","2","85","60","178","437"
"139","Delibasic M.","N.B. IMBAL CARTON PREVALLE","PRE","38","36","1056","522","123","226","54","60","182","33","96","155","62","175","47","222","111","34","13","3","89","87","130","505"
"140","Dhaoui A.","ROBUR SARONNO","SAR","14","4","15","2","1","2","50","","","","0","1","0","1","","1","1","","","","1","1","1","1"
"141","Di Dio T.","PALL. GARDONESE","GAR","36","36","1105","557","124","315","39","59","188","31","132","157","84","143","17","160","99","47","8","1","91","122","167","449"
"142","Di Giuliomaria C.","TEAM ABC CANTU'","CAN","33","33","979","610","116","209","56","66","187","35","180","248","73","234","62","296","85","12","5","28","68","75","227","794"
"143","Di Giuliomaria J.","TEAM ABC CANTU'","CAN","21","16","126","32","6","16","38","5","34","15","5","6","83","13","","13","9","7","","1","6","16","3","-3"
"144","Di Guglielmo G.","VERGA VINI CERMENATE","CER","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"145","Digianvittorio S.","DELTA LINE OPERA B.C.","OPE","14","14","428","102","31","87","36","8","46","17","16","23","70","39","11","50","34","20","4","","42","33","30","72"
"146","Diop Gaye M.","SANSEBASKET CREMONA","CRE","37","37","833","339","61","166","37","59","203","29","40","51","78","160","26","186","46","18","6","27","25","93","47","237"
"147","Doddi F.","BASKET SUSTINENTE (*)","SUS (*)","34","31","667","235","59","117","50","32","88","36","21","42","50","29","17","46","39","16","8","1","27","48","42","137"
"148","Driol S.","NERVIANESE 1919","NER","6","3","3","0","0","1","0","","","","","","","","","","","","","","","","1",""
"149","Duci A.","ROMANO LOMBARDO","ROM","32","14","45","25","3","9","33","5","10","50","4","5","80","4","","4","4","4","","","2","7","3","15"
"150","Dulovic E.","GILBERTINA SORESINA","SOR","2","1","9","0","0","1","0","0","1","0","","","","","","","","","","","","2","","-4"
"151","Dushi G.","CISTELLUM CISLAGO (*)","CIS (*)","33","33","675","190","76","200","38","2","11","18","32","46","70","108","77","185","31","10","5","9","12","95","45","173"
"152","El Rawi M.","MILANOTRE BK (*)","MIL (*)","36","11","27","4","2","4","50","","","","0","2","0","5","1","6","1","","","","","1","1","5"
"153","Epis A.","BLU OROBICA BERGAMO","BER","2","1","3","0","","","","","","","","","","","","","1","","","","","1","","-2"
"154","Esposito L.","LE BOCCE CASA GIOVENTU' ERBA","ERB","38","29","78","9","0","5","0","3","9","33","","","","8","3","11","4","2","","","4","10","","1"
"155","Facchi A.","B. TEAM E. BATTAGLIA MORTARA","MOR","11","6","31","8","4","8","50","","","","","","","","2","2","2","1","","","","1","","4"
"156","Facchi G.","B. TEAM E. BATTAGLIA MORTARA","MOR","5","2","6","2","1","2","50","","","","","","","","1","1","","","","","","1","1","2"
"157","Facchi M.","B. TEAM E. BATTAGLIA MORTARA","MOR","1","1","6","0","","","","","","","","","","","","","","","","","","","",""
"158","Faccioli R.","BASKET SUSTINENTE (*)","SUS (*)","22","22","701","276","88","202","44","14","60","23","58","98","59","180","48","228","61","23","3","11","36","61","86","335"
"159","Fedrigo G.","BASKETBALL GALLARATE","GAL","38","36","940","279","61","142","43","39","159","25","40","81","49","149","37","186","71","24","3","4","38","110","61","166"
"160","Feraboli A.","SANSEBASKET CREMONA","CRE","30","21","280","89","23","52","44","8","37","22","19","36","53","21","8","29","27","13","2","1","16","35","45","54"
"161","Ferraresi T.","PALL. LISSONE","LIS","3","2","12","6","3","5","60","0","1","0","0","1","0","1","1","2","","","","","","1","1","4"
"162","Ferrari M.","PALL. MILANO 1958 (*)","MIL (*)","1","1","1","2","1","1","100","","","","","","","","","","","","","","","","","2"
"163","Ferrari F.","BASKET SUSTINENTE (*)","SUS (*)","37","23","168","36","11","22","50","3","6","50","5","9","56","22","5","27","9","3","2","3","1","18","5","28"
"164","Ferrari I.","BASKET SUSTINENTE (*)","SUS (*)","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"165","Ferrario L.","HYDROTHERM BUSTO ARSIZIO","BUS","21","17","136","15","5","10","50","0","8","0","5","8","62","13","7","20","5","4","","","2","16","8","12"
"166","Ferrazzi A.","MG.Kvis CORONA PLATINA","PIA","1","1","3","7","0","1","0","2","3","67","1","2","50","1","","1","","1","","","","1","1","6"
"167","Ferrazzi S.","MG.Kvis CORONA PLATINA","PIA","1","1","1","0","","","","","","","","","","","","","","","","","","","",""
"168","Ferretti A.","B. TEAM E. BATTAGLIA MORTARA","MOR","32","32","1033","343","121","214","57","19","71","27","44","62","71","195","62","257","43","24","11","26","30","82","69","450"
"169","Ferri A.","ROMANO LOMBARDO","ROM","35","35","919","317","58","107","54","59","189","31","24","25","96","90","18","108","51","62","8","5","46","94","53","258"
"170","Fiamberti M.","BAJ G. ARCISATE","ARC","34","34","645","109","9","32","28","29","103","28","4","8","50","95","7","102","21","52","","22","15","74","16","120"
"171","Filic N.","BASKET SUSTINENTE (*)","SUS (*)","13","13","287","82","10","36","28","15","42","36","17","21","81","23","9","32","15","10","4","","21","27","21","63"
"172","Florio L.","BAJ G. ARCISATE","ARC","34","34","715","233","101","262","39","1","17","6","28","50","56","103","75","178","53","14","6","4","14","89","54","150"
"173","Fogato F.","BASKETBALL GALLARATE","GAL","34","31","515","109","17","38","45","21","74","28","12","19","63","67","10","77","32","23","2","3","57","60","32","126"
"174","Fontana G.","DELTA LINE OPERA B.C.","OPE","35","34","490","67","20","48","42","7","23","30","6","11","55","73","23","96","28","19","1","3","28","69","27","93"
"175","Foresti M.","ROMANO LOMBARDO","ROM","36","36","563","197","43","84","51","24","68","35","39","63","62","107","25","132","41","33","3","","19","79","75","224"
"176","Foresti N.","ROMANO LOMBARDO","ROM","26","15","79","32","15","23","65","","","","2","4","50","12","2","14","4","2","2","","1","8","7","32"
"177","Fornara F.","NERVIANESE 1919","NER","13","13","167","57","16","33","48","6","30","20","7","13","54","15","9","24","10","6","2","","3","21","16","26"
"178","Forte S.","SANSEBASKET CREMONA","CRE","13","13","400","162","22","60","37","25","99","25","43","51","84","39","8","47","39","6","1","1","29","27","55","113"
"179","Fortina J.","BASKETBALL GALLARATE","GAL","3","0","","0","","","","","","","","","","","","","","","","","","","",""
"180","Fossati M.","VIRTUS LUMEZZANE","LUM","33","28","590","193","72","114","63","3","20","15","40","64","62","66","43","109","35","36","4","7","28","69","63","245"
