"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"3","Accini D.","PALL. GARDONESE","GAR","35","35","1102","540","81","146","55","88","228","39","114","122","93","126","19","145","83","34","6","4","115","88","93","541"
"4","Agazzi L.","BLU OROBICA BERGAMO","BER","25","24","321","60","24","62","39","1","5","20","9","14","64","37","24","61","15","9","1","3","9","39","19","59"
"5","Agazzi M.","GILBERTINA SORESINA","SOR","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"6","Aiello R.","BLU OROBICA BERGAMO","BER","8","3","16","3","1","2","50","0","1","0","1","2","50","","","","1","2","1","","","1","1",""
"7","Airoldi R.","LIBERTAS CERNUSCO","CER","5","2","1","0","","","","","","","","","","","","","","","","","","","",""
"8","Ait Fatah Z.","BLU OROBICA BERGAMO","BER","5","4","42","11","4","13","31","","","","3","4","75","22","7","29","7","1","","","4","6","7","29"
"9","Albenga A.","LE BOCCE CASA GIOVENTU' ERBA","ERB","37","36","556","80","28","64","44","4","25","16","12","21","57","41","26","67","30","13","2","2","20","74","20","30"
"10","Albertini A.","BASKET SUSTINENTE (*)","SUS (*)","34","30","555","244","80","152","53","18","70","26","30","50","60","82","43","125","26","10","7","2","11","44","45","216"
"11","Aliprandi A.","PALL. LISSONE","LIS","36","36","945","361","98","198","49","32","88","36","69","103","67","129","73","202","43","31","6","13","37","94","89","400"
"12","Andreini G.","BLU OROBICA BERGAMO","BER","9","5","27","15","3","4","75","3","5","60","0","2","0","1","1","2","3","2","","","4","4","1","12"
"13","Ansaldo M.","BAJ G. ARCISATE","ARC","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"14","Antelli L.","LIBERTAS CERNUSCO","CER","32","27","315","97","16","34","47","17","48","35","13","23","57","30","10","40","26","17","1","","32","32","35","103"
"15","Anzivino R.","VERGA VINI CERMENATE","CER","34","34","1010","279","62","130","48","37","84","44","44","65","68","152","31","183","45","31","5","7","91","45","60","420"
"16","Aquilotti V.","NERVIANESE 1919","NER","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"17","Ariazzi A.","SANSEBASKET CREMONA","CRE","24","23","478","145","42","84","50","12","60","20","25","35","71","50","11","61","55","10","3","","37","72","40","63"
"18","Arici A.","VIRTUS LUMEZZANE","LUM","39","39","683","312","56","103","54","55","153","36","35","42","83","56","7","63","50","17","6","2","32","79","41","180"
"19","Arienti R.","TEAM ABC CANTU'","CAN","4","4","16","8","4","4","100","0","3","0","","","","1","","1","4","","","","2","1","1","4"
"20","Arioli F.","PALL. MILANO 1958 (*)","MIL (*)","16","16","364","110","21","56","38","21","69","30","5","8","62","48","6","54","21","5","","1","21","23","14","75"
"21","Arioli F.","MILANOTRE BK (*)","MIL (*)","14","14","276","97","12","36","33","22","57","39","7","10","70","47","5","52","13","1","","","8","18","9","74"
"22","Arui A.","HYDROTHERM BUSTO ARSIZIO","BUS","34","34","1011","263","42","130","32","44","182","24","47","78","60","130","38","168","61","58","8","2","119","105","95","274"
"23","Asaro M.","PALL. GARDONESE","GAR","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"24","Atienza B.","PALL. GARDONESE","GAR","35","33","371","82","14","39","36","14","38","37","12","24","50","16","11","27","35","17","3","","40","56","39","50"
