"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"314","Pastori M.","BERNAREGGIO","BER","32","31","507","186","68","130","52","10","46","22","20","29","69","87","34","121","43","14","5","5","13","78","33","139"
"315","Pavanello E.","VIGEVANO","VIG","31","11","27","10","2","7","29","0","2","0","6","8","75","6","","6","5","1","","","","2","4","5"
"316","Pavone M.","O. PAVIA (*)","PVO (*)","34","34","786","340","120","179","67","1","5","20","97","157","62","162","101","263","76","11","5","3","46","88","160","531"
"317","Pedala' F.","LIERNA","LIE","27","27","591","207","53","116","46","26","89","29","23","35","66","57","39","96","45","16","3","5","33","72","33","132"
"318","Pederzani L.","GARDONESE","GVT","4","1","1","0","0","1","0","","","","","","","1","","1","","","","","","","",""
"319","Pedretti A.","GARDONESE","GVT","25","21","214","47","10","23","43","8","25","32","3","6","50","19","2","21","19","9","1","","20","34","17","27"
"320","Pedretti A.","PIZZIGHETTONE","PIZ","4","0","","0","","","","","","","","","","","","","","","","","","","",""
"321","Pedrini S.","PIZZIGHETTONE","PIZ","28","28","875","313","86","202","43","21","63","33","78","96","81","171","88","259","52","34","3","10","55","69","64","435"
"322","Pellizzoni R.","CERMENATE (*)","CER (*)","27","27","550","189","24","65","37","33","102","32","42","49","86","31","3","34","21","14","3","","22","65","53","106"
"323","Pelusi A.","NERVIANESE","NER","28","21","135","25","9","21","43","1","4","25","4","9","44","13","11","24","8","2","4","1","2","18","9","13"
"324","Perego A.","P. MILANO","MIP","24","23","714","175","64","148","43","6","39","15","29","43","67","64","5","69","51","16","9","1","96","43","55","178"
"325","Perego D.","NERVIANESE","NER","26","25","298","48","12","36","33","0","8","0","24","38","63","38","12","50","31","5","2","6","3","63","28","-2"
"326","Perini G.","CREMONA","CRE","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"327","Perlini M.","NERVIANESE","NER","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"328","Peroni R.","NERVIANESE","NER","28","27","665","247","68","139","49","23","74","31","42","59","71","65","33","98","56","16","8","2","48","85","61","184"
"329","Persico B.","CALOLZIOCORTE","CAL","27","27","491","153","61","139","44","0","2","0","31","60","52","66","36","102","29","7","4","13","21","70","44","128"
"330","Pesenti M.","CREMONA","CRE","28","28","986","433","44","148","30","89","277","32","78","104","75","75","29","104","90","53","12","2","68","84","85","241"
"331","Pezzati E.","P. MILANO","MIP","18","15","124","13","6","16","38","0","6","0","1","4","25","23","7","30","8","2","2","6","3","14","4","15"
"332","Pezzo L.","PAVIA B.","PVB","31","22","83","9","1","9","11","2","12","17","1","1","100","4","2","6","3","","","","9","10","3","-4"
