"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"3","Accini D.","PALL. GARDONESE","GAR","29","26","671","280","32","75","43","56","170","33","48","55","87","95","8","103","63","27","2","4","79","53","42","253"
"4","Aceti O.","V. CERMENATE","CER","34","32","431","110","38","93","41","3","17","18","25","56","45","71","21","92","27","6","3","4","15","48","56","105"
"5","Agazzi A.","MANERBIO BK (*)","MAN (*)","22","22","323","17","4","18","22","2","16","12","3","17","18","39","15","54","12","11","","7","9","37","14","21"
"6","Airoldi R.","LIBERTAS CERNUSCO","CER","2","1","1","0","","","","","","","","","","","","","","","","","","","",""
"7","Alchieri D.","B.T. PIZZIGHETTONE","PIZ","8","0","","0","","","","","","","","","","","","","","","","","","","",""
"8","Alibrandi E.","BK ISEO","ISE","27","13","30","3","0","1","0","1","6","17","","","","1","","1","3","1","","","","4","1","-7"
"9","Angiolini A.","7 LAGHI GAZZADA","GAZ","36","35","686","193","24","61","39","36","123","29","37","45","82","64","3","67","77","19","","1","109","36","43","187"
"10","Ansaldo M.","C.ALLUMINIO BAJ ARCISATE","ARC","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"11","Antelli L.","LIBERTAS CERNUSCO","CER","27","22","261","77","13","29","45","14","43","33","9","20","45","29","16","45","22","11","4","","33","45","30","69"
"12","Antonini V.","PALL. CERRO MAGGIORE","CEM","30","30","782","164","43","113","38","17","73","23","27","53","51","84","25","109","43","24","7","5","42","96","68","114"
"13","Anzivino R.","V. CERMENATE","CER","27","24","708","191","49","86","57","15","40","38","48","64","75","122","31","153","47","34","2","3","59","43","62","332"
"14","Aquilotti V.","USD NERVIANESE","NER","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"15","Ariazzi M.","CORONA PLATINA","PIA","17","17","212","57","4","14","29","14","39","36","7","12","58","8","3","11","10","","","","11","36","12","5"
"16","Arici A.","BK ISEO","ISE","39","39","632","218","34","75","45","40","128","31","30","35","86","73","13","86","73","19","4","3","40","65","37","127"
"17","Arioli F.","MILANOTRE BASKET","BAS","37","36","894","358","36","107","34","88","239","37","22","27","81","160","32","192","41","19","8","5","42","56","33","317"
"18","Atienza B.","MANERBIO BK (*)","MAN (*)","33","32","655","157","32","74","43","20","82","24","33","51","65","34","7","41","62","23","5","","43","95","68","48"
"19","Azzola M.","BK ISEO","ISE","20","15","460","257","45","107","42","47","124","38","26","33","79","54","19","73","26","16","4","3","30","32","37","208"
"20","Baggi G.","B.T. PIZZIGHETTONE","PIZ","23","22","140","20","6","15","40","2","8","25","2","4","50","15","7","22","9","5","2","2","9","30","8","8"
"21","Baldrighi D.","B.T. PIZZIGHETTONE","PIZ","33","12","71","15","6","15","40","0","2","0","3","8","38","8","8","16","2","1","","1","3","9","5","14"
"22","Ballarate M.","V. CERMENATE","CER","34","34","962","352","29","102","28","73","244","30","75","98","77","72","35","107","68","14","6","4","61","96","89","190"
"23","Balogun M.","PALL. GARDONESE","GAR","29","29","534","108","32","100","32","6","49","12","26","39","67","71","27","98","27","15","5","4","28","66","35","66"
"24","Bandera G.","USD NERVIANESE","NER","32","32","602","225","58","118","49","27","82","33","28","40","70","50","17","67","29","19","1","8","23","34","36","187"
"25","Banfi M.","ROBUR SARONNO","SAR","39","28","322","60","18","53","34","3","13","23","15","22","68","15","3","18","27","12","6","","20","43","30","12"
"26","Banin A.","OPERA BK CLUB","OPE","9","9","156","61","8","26","31","6","14","43","27","38","71","18","7","25","25","3","2","1","12","22","26","42"
